antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Technology'}),"frozenset({'Office Supplies', 'Furniture'})",0.3086143843965867,0.19179195449004469,0.06460788297440065,0.20934825543120475,1.091538255542786,1.0,0.0054181270072373305,1.0222048469022664,0.12129512065750363,0.14825174825174825,0.021722502069479597,0.27310633110543286
"frozenset({'Office Supplies', 'Furniture'})",frozenset({'Technology'}),0.19179195449004469,0.3086143843965867,0.06460788297440065,0.336864406779661,1.0915382555427857,1.0,0.0054181270072373305,1.0426006727310257,0.1037625177469796,0.14825174825174825,0.04086000886555733,0.27310633110543286
"frozenset({'Technology', 'Office Supplies'})",frozenset({'Furniture'}),0.1830556684274685,0.3508736286062576,0.06460788297440065,0.3529411764705882,1.0058925712728635,1.0,0.00037847635631083065,1.0031953012448747,0.007170687225400072,0.13766233766233765,0.0031851238147841197,0.2685377567355836
frozenset({'Furniture'}),"frozenset({'Technology', 'Office Supplies'})",0.3508736286062576,0.1830556684274685,0.06460788297440065,0.18413433700057905,1.0058925712728635,1.0,0.00037847635631083065,1.0013221154192775,0.00902451747522181,0.13766233766233765,0.0013203697380875549,0.2685377567355836
"frozenset({'Technology', 'Furniture'})",frozenset({'Office Supplies'}),0.09609914668833808,0.7468508736286062,0.06460788297440065,0.6723044397463002,0.9001856508246163,1.0,-0.007163848684748231,0.7725131404752853,-0.10926669075899663,0.08300704776820673,-0.29447636241469544,0.379405756325816
frozenset({'Office Supplies'}),"frozenset({'Technology', 'Furniture'})",0.7468508736286062,0.09609914668833808,0.06460788297440065,0.08650707290533188,0.9001856508246163,1.0,-0.007163848684748231,0.9894995642566019,-0.30459475587068713,0.08300704776820673,-0.010611864949417057,0.379405756325816
frozenset({'Technology'}),frozenset({'Furniture'}),0.3086143843965867,0.3508736286062576,0.09609914668833808,0.3113890717577354,0.8874678698271996,1.0,-0.012185502204978715,0.9426605718423469,-0.15497845997482165,0.17057338622430582,-0.060827226544108375,0.29263721103810336
frozenset({'Furniture'}),frozenset({'Technology'}),0.3508736286062576,0.3086143843965867,0.09609914668833808,0.2738853503184714,0.8874678698271996,1.0,-0.012185502204978715,0.9521714179801394,-0.16341903033698266,0.17057338622430582,-0.050231062513218835,0.29263721103810336
frozenset({'Technology'}),frozenset({'Office Supplies'}),0.3086143843965867,0.7468508736286062,0.1830556684274685,0.5931533903884135,0.7942059269564122,1.0,-0.047433254173476797,0.6222225290584906,-0.2726122567597221,0.20982766651141124,-0.6071420646133455,0.4191283818100936
frozenset({'Office Supplies'}),frozenset({'Technology'}),0.7468508736286062,0.3086143843965867,0.1830556684274685,0.24510337323177367,0.7942059269564122,1.0,-0.047433254173476797,0.9158679362011342,-0.5058271795359384,0.20982766651141124,-0.09186047515521889,0.4191283818100936
frozenset({'Office Supplies'}),frozenset({'Furniture'}),0.7468508736286062,0.3508736286062576,0.19179195449004469,0.25680087051142547,0.7318899158409011,1.0,-0.07025832156777792,0.8734218672193987,-0.5913488063125975,0.21170666068625252,-0.14492210182872103,0.40170674677858476
frozenset({'Furniture'}),frozenset({'Office Supplies'}),0.3508736286062576,0.7468508736286062,0.19179195449004469,0.5466126230457441,0.7318899158409011,1.0,-0.07025832156777792,0.5583506273862031,-0.36075134310719165,0.21170666068625252,-0.7909893012591072,0.40170674677858476
